Element,Z,Ka1,Ka1_FWHM,Ka2,Ka2_FWHM,Kb1,Kb1_FWHM,Kb2,Kb2_FWHM,La,La_FWHM,Lb,Lb_FWHM,Lg,Lg_FWHM,Duration(s)
Cl,17,69.01,5.0415,,,,,,,,,,,,,153.88
Ti,22,118.50,4.6966,,,130.01,4.8500,,,,,,,,,152.95
Cr,24,142.82,4.8480,,,157.13,4.6513,,,,,,,,,152.40
Fe,26,169.30,4.9828,,,187.07,3.9826,,,,,,,,,150.69
Ni,28,198.17,5.0323,,,219.44,5.2907,,,,,,,,,157.87
Cu,29,213.46,5.2364,,,236.47,5.1020,,,,,,,,,153.89
Zn,30,229.37,5.4145,,,254.77,5.5649,,,,,,,,,174.95
Ag,47,591.78,9.3512,,,667.76,6.5355,,,79.66,3.9616,,,,,157.37
Cd,48,618.78,9.6401,,,698.94,7.6527,714.5000,,83.70,4.133,,,,,152.22
Sn,50,674.87,11.4259,,,762.68,8.5220,780.0700,4.1063,93.22,4.1667,,,,,153.10
Gd,64,1154.34,8.1218,1135.15,9.2258,1306.13,11.0667,1341.4600,,158.27,3.964,179.26,3.039,,,151.76
Ta,73,1545.14,11.0044,1511.44,10.1054,1750.15,13.0109,1801.4600,9.8333,216.72,5.1678,250.74,6.8609,291.87,5.3784,191.31
Au,79,1848.87,5.1500,1801.87,,,,,,258.28,5.7051,306.19,7.5669,362.16,5.9643,155.08
Pb,82,2014.29,10.5592,1955.99,10.5705,,,,,280.90,5.5168,336.81,6.5449,420.44,6.0965,156.04
Brass1,,213.35,4.8974,,,237.10,,,,,,,,,,151.92
Brass2,,229.33,4.5854,,,255.03,3.9342,,,,,,,,,151.92